state_name,district_name,market,commodity_group,commodity,unit_of_measure,price_local,currency,price_flag,price_type,data_period_start,data_period_end,latitude,longitude,year,multidimensional_poverty_index,poverty_headcount_ratio,poverty_intensity,vulnerability_rate,severe_poverty_rate,price_to_poverty_ratio,poverty_weighted_price,geo_missing,cluster
goa,North Goa,Panaji,cereals and tubers,Wheat,KG,31.0,INR,actual,Retail,2019-01-15,2019-02-14,15.48,73.83,2019,0.0053,1.3938,38.2264,6.3891,0.1361,22.24135457023964,0.1643,False,0
goa,North Goa,Panaji,milk and dairy,Milk (pasteurized),L,50.0,INR,actual,Retail,2019-01-15,2019-02-14,15.48,73.83,2019,0.0053,1.3938,38.2264,6.3891,0.1361,35.87315253264457,0.265,False,0
goa,North Goa,Panaji,miscellaneous food,Sugar,KG,37.63,INR,actual,Retail,2019-01-15,2019-02-14,15.48,73.83,2019,0.0053,1.3938,38.2264,6.3891,0.1361,26.9981345960683,0.199439,False,0
goa,North Goa,Panaji,miscellaneous food,Sugar (jaggery/gur),KG,56.19,INR,actual,Retail,2019-01-15,2019-02-14,15.48,73.83,2019,0.0053,1.3938,38.2264,6.3891,0.1361,40.314248816185966,0.297807,False,0
goa,North Goa,Panaji,oil and fats,Ghee (vanaspati),KG,117.0,INR,actual,Retail,2019-01-15,2019-02-14,15.48,73.83,2019,0.0053,1.3938,38.2264,6.3891,0.1361,83.94317692638829,0.6201,False,0
goa,North Goa,Panaji,oil and fats,Oil (groundnut),KG,159.0,INR,actual,Retail,2019-01-15,2019-02-14,15.48,73.83,2019,0.0053,1.3938,38.2264,6.3891,0.1361,114.07662505380974,0.8427,False,0
goa,North Goa,Panaji,oil and fats,Oil (mustard),KG,148.0,INR,actual,Retail,2019-01-15,2019-02-14,15.48,73.83,2019,0.0053,1.3938,38.2264,6.3891,0.1361,106.18453149662793,0.7844,False,0
goa,North Goa,Panaji,oil and fats,Oil (palm),KG,79.44,INR,actual,Retail,2019-01-15,2019-02-14,15.48,73.83,2019,0.0053,1.3938,38.2264,6.3891,0.1361,56.99526474386569,0.421032,False,0
goa,North Goa,Panaji,oil and fats,Oil (soybean),KG,106.0,INR,actual,Retail,2019-01-15,2019-02-14,15.48,73.83,2019,0.0053,1.3938,38.2264,6.3891,0.1361,76.05108336920648,0.5618,False,0
goa,North Goa,Panaji,pulses and nuts,Lentils,KG,85.0,INR,actual,Retail,2019-01-15,2019-02-14,15.48,73.83,2019,0.0053,1.3938,38.2264,6.3891,0.1361,60.984359305495765,0.4505,False,0
goa,North Goa,Panaji,vegetables and fruits,Onions,KG,21.0,INR,actual,Retail,2019-01-15,2019-02-14,15.48,73.83,2019,0.0053,1.3938,38.2264,6.3891,0.1361,15.06672406371072,0.1113,False,0
goa,North Goa,Panaji,vegetables and fruits,Tomatoes,KG,40.7,INR,actual,Retail,2019-01-15,2019-02-14,15.48,73.83,2019,0.0053,1.3938,38.2264,6.3891,0.1361,29.20074616157268,0.21571,False,0
gujarat,Ahmadabad,Ahmedabad,cereals and tubers,Potatoes,KG,17.25,INR,actual,Retail,2019-01-15,2019-02-14,23.03,72.62,2019,0.059,14.4022,40.9834,17.7388,3.0165,1.1977336795767313,1.01775,False,0
gujarat,Ahmadabad,Ahmedabad,cereals and tubers,Rice,KG,23.0,INR,actual,Retail,2019-01-15,2019-02-14,23.03,72.62,2019,0.059,14.4022,40.9834,17.7388,3.0165,1.5969782394356418,1.357,False,0
gujarat,Ahmadabad,Ahmedabad,milk and dairy,Milk,L,48.0,INR,actual,Retail,2019-01-15,2019-02-14,23.03,72.62,2019,0.059,14.4022,40.9834,17.7388,3.0165,3.332824151865687,2.832,False,0
gujarat,Ahmadabad,Ahmedabad,miscellaneous food,Salt (iodised),KG,17.0,INR,actual,Retail,2019-01-15,2019-02-14,23.03,72.62,2019,0.059,14.4022,40.9834,17.7388,3.0165,1.180375220452431,1.003,False,0
gujarat,Ahmadabad,Ahmedabad,miscellaneous food,Tea (black),KG,210.0,INR,actual,Retail,2019-01-15,2019-02-14,23.03,72.62,2019,0.059,14.4022,40.9834,17.7388,3.0165,14.581105664412382,12.39,False,0
gujarat,Ahmadabad,Ahmedabad,oil and fats,Oil (groundnut),KG,104.0,INR,actual,Retail,2019-01-15,2019-02-14,23.03,72.62,2019,0.059,14.4022,40.9834,17.7388,3.0165,7.221118995708989,6.136,False,0
gujarat,Ahmadabad,Ahmedabad,oil and fats,Oil (mustard),KG,86.0,INR,actual,Retail,2019-01-15,2019-02-14,23.03,72.62,2019,0.059,14.4022,40.9834,17.7388,3.0165,5.971309938759356,5.074,False,0
gujarat,Ahmadabad,Ahmedabad,oil and fats,Oil (palm),KG,75.0,INR,actual,Retail,2019-01-15,2019-02-14,23.03,72.62,2019,0.059,14.4022,40.9834,17.7388,3.0165,5.207537737290136,4.425,False,0
gujarat,Ahmadabad,Ahmedabad,oil and fats,Oil (soybean),KG,85.0,INR,actual,Retail,2019-01-15,2019-02-14,23.03,72.62,2019,0.059,14.4022,40.9834,17.7388,3.0165,5.901876102262154,5.015,False,0
gujarat,Ahmadabad,Ahmedabad,pulses and nuts,Lentils,KG,58.0,INR,actual,Retail,2019-01-15,2019-02-14,23.03,72.62,2019,0.059,14.4022,40.9834,17.7388,3.0165,4.027162516837706,3.422,False,0
gujarat,Ahmadabad,Ahmedabad,pulses and nuts,Lentils (masur),KG,54.0,INR,actual,Retail,2019-01-15,2019-02-14,23.03,72.62,2019,0.059,14.4022,40.9834,17.7388,3.0165,3.749427170848898,3.186,False,0
gujarat,Ahmadabad,Ahmedabad,pulses and nuts,Lentils (moong),KG,65.0,INR,actual,Retail,2019-01-15,2019-02-14,23.03,72.62,2019,0.059,14.4022,40.9834,17.7388,3.0165,4.513199372318118,3.835,False,0
gujarat,Ahmadabad,Ahmedabad,vegetables and fruits,Tomatoes,KG,25.0,INR,actual,Retail,2019-01-15,2019-02-14,23.03,72.62,2019,0.059,14.4022,40.9834,17.7388,3.0165,1.7358459124300454,1.475,False,0
gujarat,Rajkot,Rajkot,cereals and tubers,Potatoes,KG,17.0,INR,actual,Retail,2019-01-15,2019-02-14,22.3,70.78,2019,0.059,14.4022,40.9834,17.7388,3.0165,1.180375220452431,1.003,False,0
gujarat,Rajkot,Rajkot,cereals and tubers,Rice,KG,23.0,INR,actual,Retail,2019-01-15,2019-02-14,22.3,70.78,2019,0.059,14.4022,40.9834,17.7388,3.0165,1.5969782394356418,1.357,False,0
gujarat,Rajkot,Rajkot,cereals and tubers,Wheat,KG,21.0,INR,actual,Retail,2019-01-15,2019-02-14,22.3,70.78,2019,0.059,14.4022,40.9834,17.7388,3.0165,1.4581105664412382,1.239,False,0
gujarat,Rajkot,Rajkot,cereals and tubers,Wheat flour,KG,22.0,INR,actual,Retail,2019-01-15,2019-02-14,22.3,70.78,2019,0.059,14.4022,40.9834,17.7388,3.0165,1.52754440293844,1.298,False,0
gujarat,Rajkot,Rajkot,milk and dairy,Milk (pasteurized),L,52.0,INR,actual,Retail,2019-01-15,2019-02-14,22.3,70.78,2019,0.059,14.4022,40.9834,17.7388,3.0165,3.6105594978544944,3.068,False,0
gujarat,Rajkot,Rajkot,miscellaneous food,Salt (iodised),KG,17.0,INR,actual,Retail,2019-01-15,2019-02-14,22.3,70.78,2019,0.059,14.4022,40.9834,17.7388,3.0165,1.180375220452431,1.003,False,0
gujarat,Rajkot,Rajkot,miscellaneous food,Sugar,KG,36.0,INR,actual,Retail,2019-01-15,2019-02-14,22.3,70.78,2019,0.059,14.4022,40.9834,17.7388,3.0165,2.499618113899265,2.124,False,0
gujarat,Rajkot,Rajkot,miscellaneous food,Sugar (jaggery/gur),KG,45.0,INR,actual,Retail,2019-01-15,2019-02-14,22.3,70.78,2019,0.059,14.4022,40.9834,17.7388,3.0165,3.1245226423740817,2.655,False,0
gujarat,Rajkot,Rajkot,miscellaneous food,Tea (black),KG,200.0,INR,actual,Retail,2019-01-15,2019-02-14,22.3,70.78,2019,0.059,14.4022,40.9834,17.7388,3.0165,13.886767299440365,11.8,False,0
gujarat,Rajkot,Rajkot,oil and fats,Oil (mustard),KG,89.0,INR,actual,Retail,2019-01-15,2019-02-14,22.3,70.78,2019,0.059,14.4022,40.9834,17.7388,3.0165,6.179611448250962,5.251,False,0
gujarat,Rajkot,Rajkot,pulses and nuts,Lentils (moong),KG,65.0,INR,actual,Retail,2019-01-15,2019-02-14,22.3,70.78,2019,0.059,14.4022,40.9834,17.7388,3.0165,4.513199372318118,3.835,False,0
gujarat,Rajkot,Rajkot,vegetables and fruits,Onions,KG,15.0,INR,actual,Retail,2019-01-15,2019-02-14,22.3,70.78,2019,0.059,14.4022,40.9834,17.7388,3.0165,1.041507547458027,0.885,False,0
gujarat,Rajkot,Rajkot,vegetables and fruits,Tomatoes,KG,25.0,INR,actual,Retail,2019-01-15,2019-02-14,22.3,70.78,2019,0.059,14.4022,40.9834,17.7388,3.0165,1.7358459124300454,1.475,False,0
haryana,Gurgaon,Gurgaon,cereals and tubers,Potatoes,KG,13.39,INR,actual,Retail,2019-01-15,2019-02-14,28.46,77.03,2019,0.0298,7.1746,41.5452,17.9088,1.5933,1.8663061355336883,0.399022,False,0
haryana,Gurgaon,Gurgaon,cereals and tubers,Rice,KG,30.0,INR,actual,Retail,2019-01-15,2019-02-14,28.46,77.03,2019,0.0298,7.1746,41.5452,17.9088,1.5933,4.181417779388398,0.894,False,0
haryana,Gurgaon,Gurgaon,miscellaneous food,Sugar,KG,35.35,INR,actual,Retail,2019-01-15,2019-02-14,28.46,77.03,2019,0.0298,7.1746,41.5452,17.9088,1.5933,4.927103950045995,1.05343,False,0
